name,reviews,rating
Fairmont Grand Del Mar,Perfect start to the honeymoon,5
Fairmont Grand Del Mar,Best hotel in the country!,5
Fairmont Grand Del Mar,Truly a grand experience,5
Fairmont Grand Del Mar,You MUST stay here,5
Fairmont Grand Del Mar,A nice getaway for a price,4
Fairmont Grand Del Mar,Amazing Experience,5
Fairmont Grand Del Mar,Wonderful quiet resort,5
Fairmont Grand Del Mar,It Almost Lives Up To Its Rating,4
Fairmont Grand Del Mar,Its hard to improve on perfection.,5
Fairmont Grand Del Mar,Top choice for San Diego,5
Fairmont Grand Del Mar,Stunning Hotel for 30th Birthday,5
Fairmont Grand Del Mar,Top Notch Hotel in SoCal,5
Fairmont Grand Del Mar,San Diego Fairmont Excellence,5
Fairmont Grand Del Mar,Best Hotel I have EVER stayed at,5
Best Western at OHare,Fly and go,4
Best Western at OHare,Helpful Staff!,5
Best Western at OHare,Decent hotel at O'Hare.,3
Best Western at OHare,Bad,3
Clarion Resort Waterpark,Excellent We Had a BLAST in the WATER Park Hotel,5
Virgin Hotels Chicago,Awesome hotel.,5
Virgin Hotels Chicago,Impeccable customer service overall experience,4.8
Virgin Hotels Chicago,"Very comfy beds, great lobby/bathroom",4.6
Virgin Hotels Chicago,Staff went out of their way after checkout to locate an item...,4.6
Virgin Hotels Chicago,"Great city location, very clean and modern hotel with good staff . Don't miss the happy hour",4.8
Virgin Hotels Chicago,Good hotel terrible room rate!,3.55
Virgin Hotels Chicago,Comfortable hotel in a great location.,4.4
Virgin Hotels Chicago,A fun place to stay with great staff and lots going on in...,5
Virgin Hotels Chicago,Honestly one of the best stays I've ever had (and I travel a lot!),4.6
Virgin Hotels Chicago,Beautiful hotel and great value,5
Virgin Hotels Chicago,PERFECTION,5
Virgin Hotels Chicago,"Fun, Funky Energy to a Shiny New Hotel",5
Virgin Hotels Chicago,Fun place and great staff,5
Virgin Hotels Chicago,Cool hotel in a perfect location,4.8
Virgin Hotels Chicago,Great location and staff,4.8
Virgin Hotels Chicago,I thought flying Virgin was great.... this exceeded my expectations,5
Virgin Hotels Chicago,Excellent stay -- I will return,4.8
Virgin Hotels Chicago,Everything,5
Virgin Hotels Chicago,Exceptional hotel,5
The Boxer,Great location to attend a hockey game!,4.6
The Boxer,I loved the quirkiness and style of the hotel.,4.8
The Boxer,Clean and cozy,4.15
The Boxer,Poor hotel option. More like a poor 3 star.,2.5
The Boxer,Location to the garden,3.95
The Boxer,Complete and good,4.6
The Boxer,Perfect,5
The Boxer,Dont look past The Boxer for Boston accommodation.,5
The Boxer,Great location for a reasonable price in Boston.,5
The Boxer,nice place but way overpriced,2.9
The Boxer,The Boxer Boston a let down and should have been better!,2.9
The Boxer,poor room comfort,4
The Boxer,The whole 5 day experience at the hotel was superb- the...,5
The Boxer,The location,5
The Boxer,Close to TD Garden,5
The Boxer,Good location.,3.35
The Boxer,The coolest hotel! Everything is excellent,5
The Boxer,They were very accommodating. They offer a free breakfast buffet which was a nice surprise.,4.6
The Boxer,IN THE HEART OF BOSTON...'cause they got heart!,5
The Boxer,Good but not great.,3.75
The Boxer,We enjoyed the convenience of staying here while we attended a concert at the Boston Garden.,5
The Boxer,Friendly and prompt service.,4.6
The Boxer,More please,5
The Boxer,Made the trip even better bookending the day at the hotel.,5
The Boxer,Great place to stay while taking in an event at TD garden,3.75
The Boxer,Free apples and fruit Infused Water in the lobby.,3.95
The Boxer,"A marvelous location, very friendly crew, it's clear...",5
The Boxer,Pleasant stay in this hotel.,4.5
The Boxer,Room was great.,4.8
The Boxer,Free water and apples,3.55
The Boxer,awesome hotel,5
The Boxer,Classic and Close,3.55
The Boxer,Free water and apples,3.55
The Boxer,"Location, staff, aesthetics, price.",4.6
The Boxer,We were happy to stay there for a weekend in Boston. The location and amenities worked well for us.,4.6
The Boxer,The staff were friendly and helpful.,3.75
The Boxer,A quirky and comfortable place,4.15
The Boxer,Had a wonderful time exploring the whole north end of the city on foot from this awesome location!,4.4
The Boxer,Very friendly staff.,3.55
The Boxer,Great hotel.,4.8
The Boxer,I will stay there again!,4.8
The Boxer,Restaurant closed,2.5
The Boxer,"nice hotel, well located near the Boston public market",3.95
The Boxer,At least it wasnt too far from TD garden.,2.9
The Boxer,It was great,4.15
The Boxer,"Staff was great, room small but clean and organized well.",4.8
The Boxer,Perfect location if you're attending an even at the...,4.4
The Boxer,Dont look past The Boxer for Boston accommodation.,5
The Boxer,Quirky and fun hotel.,4.4
The Boxer,Buffet food,4.15
The Old No. 77 Hotel & Chandlery,Hotel with Personality!,5
The Old No. 77 Hotel & Chandlery,What a great experience!,5
The Old No. 77 Hotel & Chandlery,Great hotel!,5
The Old No. 77 Hotel & Chandlery,"Friendly, helpful staff and comfortable rooms!",5
The Old No. 77 Hotel & Chandlery,As Local As You Can Get,5
Main Street Station Casino Brewery Hotel,Value for Money,4.4
Fremont Hotel & Casino,Never again!,2.1
Fremont Hotel & Casino,Excellent,5
Fremont Hotel & Casino,The staff at the place is extremely friendly.,3.95
Fremont Hotel & Casino,Non-smoker had to sleep in a smoking room,1.65
Main Street Station Casino Brewery Hotel,EVERYTHING WORK OUT JUST FINE,3.95
Fremont Hotel & Casino,Great stay. Little pricey for the location. No post season MLB access in my room!!! Dodgers and Cubs,3.55
Main Street Station Casino Brewery Hotel,Best gambling in Vegas and best comps!,5
Fremont Hotel & Casino,I absolutely loved it and will definitely be back in the near future!,5
Fremont Hotel & Casino,NIGHT MARE!!!,2.5
Fremont Hotel & Casino,Cheap and this is it,2.9
Fremont Hotel & Casino,Need the minimum for an inexpensive price - this is the deal for you!,2.9
Main Street Station Casino Brewery Hotel,We'll be back.,5
Main Street Station Casino Brewery Hotel,We'll be back again,4.15
Fremont Hotel & Casino,Definitely coming back!,4.6
Fremont Hotel & Casino,Bed bug city,1.65
Main Street Station Casino Brewery Hotel,It's my favorite place go I've booked for November for my birthday this year.,5
Fremont Hotel & Casino,the location,4.4
Main Street Station Casino Brewery Hotel,Very satisfied,5
Fremont Hotel & Casino,Its was alright for what it was worth.,2.5
Fremont Hotel & Casino,"Location, beds, price",3.75
Fremont Hotel & Casino,Pro: Cheap Con: everything else,2.9
Fremont Hotel & Casino,Take a gamble,2.5
Fremont Hotel & Casino,It met all of our needs and had a great time in and around the surrounding casino's,4.4
Fremont Hotel & Casino,Location,3.55
Fremont Hotel & Casino,Great,4.15
Main Street Station Casino Brewery Hotel,excellent value for money in las vegas,3.75
Fremont Hotel & Casino,Lots of fun,5
Fremont Hotel & Casino,The Beds were great!,3.55
Main Street Station Casino Brewery Hotel,The beds were very confortable.,3.75
Fremont Hotel & Casino,"I really liked its location, and slot machines, the Paradise...",2.9
Main Street Station Casino Brewery Hotel,Excellence - and without a resort fee!,5
Fremont Hotel & Casino,The free parking at the hotel was great and all the staff...,4.6
Fremont Hotel & Casino,Good stay,4.15
Fremont Hotel & Casino,Valet parking Duncan doughnut,3.15
Fremont Hotel & Casino,"Nice to stay, but needs to be improved.",3.55
Fremont Hotel & Casino,It was a beautiful hotal,2.7
Fremont Hotel & Casino,Great location!,4.15
Fremont Hotel & Casino,"Rooms small, air conditioning don't work!",2.1
Fremont Hotel & Casino,Location and price.,4.15
Fremont Hotel & Casino,A great part of history that needs minor changes to keep up.,2.9
Fremont Hotel & Casino,Money worth but looking old and noisy,3.35
Main Street Station Casino Brewery Hotel,Hotel and Staff -- GREAT. Parking: VERY BAD.,4.8
Fremont Hotel & Casino,none,1.65
Main Street Station Casino Brewery Hotel,"The breakfast buffett was good, the other 2 restaurants were...",3.55
Main Street Station Casino Brewery Hotel,"The rooms were very comfortable, clean, and well maintained",4.6
Main Street Station Casino Brewery Hotel,Stayed here for a week and our stay was great! We will definitely come back again for vacation.,4.6
Fremont Hotel & Casino,It was ok.,2.7
Fremont Hotel & Casino,Room was clean.,3.75
Fremont Hotel & Casino,It was on my bucket list and I wanted to...,2.9
Fremont Hotel & Casino,Overall the stay was just okay but way over priced for the accomandations.,2.9
Fremont Hotel & Casino,Loved It!!!,5
Main Street Station Casino Brewery Hotel,cheap buffet with good quality,3.15
Fremont Hotel & Casino,"Easy access to Fremont, hope you like valet parking.",3.95
Main Street Station Casino Brewery Hotel,"The hotel was very nice, much nicer than The Plaza next door.",3.55
Fremont Hotel & Casino,Excelent location in the freemont Experience.,3.55
Fremont Hotel & Casino,A moment to relax.,3.95
Fremont Hotel & Casino,Not bad if you get the right price.,4.15
Fremont Hotel & Casino,Love the Fremont Hotel,4.6
Fremont Hotel & Casino,Horrible,1.45
Fremont Hotel & Casino,Good hotel at Fremont street.,3.35
Main Street Station Casino Brewery Hotel,Access to downtown,3.55
Fremont Hotel & Casino,Kool place,4.4
Fremont Hotel & Casino,Prime rib meal deal at Roma's,2.5
Fremont Hotel & Casino,In all the stay was great.,4.6
Fremont Hotel & Casino,Great location and very pleasant,5
Fremont Hotel & Casino,The Fun Starts At Downtown Las Vegas.,5
Fremont Hotel & Casino,everything was fine except the band noise until 2 in the morning,5
Fremont Hotel & Casino,"Fremont, not a bad option",3.75
Fremont Hotel & Casino,Ease of conveniece to everything I needed,5
Main Street Station Casino Brewery Hotel,Everything very nice room food service,5
Main Street Station Casino Brewery Hotel,good experience at a Main Street,4.8
Fremont Hotel & Casino,Location,3.35
Main Street Station Casino Brewery Hotel,The hotel is really beautiful!,4.6
Main Street Station Casino Brewery Hotel,always a good value at the Main Street Casino,4.8
Main Street Station Casino Brewery Hotel,very nice restored hotel.,5
Fremont Hotel & Casino,OK,3.15
Fremont Hotel & Casino,"The room was nice and clean, bed was very comfy.",4.4
Fremont Hotel & Casino,Convenient location.,4.8
Fremont Hotel & Casino,Hassle checking in confirmation email lost by bookings or...,3.75
Fremont Hotel & Casino,not happy,1.45
Fremont Hotel & Casino,Location and staff were awesome.,3.35
Fremont Hotel & Casino,nice place to stay in vegas,4.6
Fremont Hotel & Casino,really you only stay in your room to sleep and it was great,3.75
Fremont Hotel & Casino,Perfect location and best staff from top to bottom!,5
Fremont Hotel & Casino,Great downtown location,3.15
Fremont Hotel & Casino,Location,3.75
Main Street Station Casino Brewery Hotel,yes,5
Main Street Station Casino Brewery Hotel,Not crowded,3.95
Fremont Hotel & Casino,wouldnt stay there again,3.55
Fremont Hotel & Casino,Something new,3.75
Fremont Hotel & Casino,It was clean and close to everything!,3.15
Fremont Hotel & Casino,Won't book again but will eat there,2.75
Main Street Station Casino Brewery Hotel,Not worth the price,2.9
Fremont Hotel & Casino,Great location and price was right,3.35
Main Street Station Casino Brewery Hotel,I want to go back!,5
Fremont Hotel & Casino,Take a gamble,2.5
Fremont Hotel & Casino,Location,5
Fremont Hotel & Casino,Small room and a nasty bathroom,2.7
Fremont Hotel & Casino,Very friendly staff,5
Main Street Station Casino Brewery Hotel,The location was easily accessible to any downtown...,4.8
Fremont Hotel & Casino,Last stay there ever,2.5
Fremont Hotel & Casino,Casino have finally decided to drop all resort fee's to make customers happy!!,4.6
Fremont Hotel & Casino,The hotel room was spacious and very comforting.,4.4
Fremont Hotel & Casino,But all nd all the stay was amazing,5
Fremont Hotel & Casino,Great Stay at the Fremont,3.75
Fremont Hotel & Casino,Will come again!!!!,4.8
Main Street Station Casino Brewery Hotel,Had a good time,4.4
Fremont Hotel & Casino,Great location!,4.4
Main Street Station Casino Brewery Hotel,Good downtown hotel,4.6
Fremont Hotel & Casino,Everything was very convenient to get to.,4.6
Fremont Hotel & Casino,Very comfortable and fun stay,5
Fremont Hotel & Casino,We loved being in the center of action and its great value.,3.55
Fremont Hotel & Casino,"Ease of access to multiple things, great places to eat.",3.75
The Charlesmark Hotel,"There to visist family so being close to the T was important. Location , location, location.",5
The Charlesmark Hotel,Courteous and helpful staff!,4.6
The Charlesmark Hotel,Location!,5
The Charlesmark Hotel,Great Location,3.15
The Charlesmark Hotel,great hotel for couples in a great location,4.4
The Charlesmark Hotel,"Excellent location next to attractions, commercial area,...",4.8
The Charlesmark Hotel,The location is central to a range of must-see sights,3.35
The Charlesmark Hotel,Adequate for one night stay in heart of Boston,3.95
The Charlesmark Hotel,"location, small comfortable room.",3.95
The Charlesmark Hotel,Great find in Boston,5
The Charlesmark Hotel,Awesome stay at the Charlesmark Hotel,4.8
The Charlesmark Hotel,would stay there again...and not boo thru your site,5
The Charlesmark Hotel,My wife and I stayed at the charlesmark for 4 days.,4.8
The Charlesmark Hotel,Location is fabulous.,5
The Charlesmark Hotel,Boston trip for MIT graduation days,3.75
The Charlesmark Hotel,Well located small hotel,4.15
The Charlesmark Hotel,I loved the room I was in.,5
The Charlesmark Hotel,Top location,4.6
The Charlesmark Hotel,1. Outstanding location!,4.4
The Charlesmark Hotel,"Modern style, great location, super helpful staff,...",5
The Charlesmark Hotel,"bad experience, doesn't worth cash at all",2.3
The Charlesmark Hotel,It was overpriced.,2.7
The Charlesmark Hotel,Feels cheaper,3.35
The Charlesmark Hotel,Really liked the modern feel to the place !,4.6
The Charlesmark Hotel,Fun,4.4
The Charlesmark Hotel,Wonderful great city and the hotel was in the perfect location,5
The Charlesmark Hotel,great location breakfast,5
The Charlesmark Hotel,great,4.8
The Charlesmark Hotel,The location was great.,3.35
The Charlesmark Hotel,Great location for midgets,2.9
The Charlesmark Hotel,I had a wonderful stay at this amazing and surprisingly cheap hotel.,4.8
The Charlesmark Hotel,Good location to explore Boston,3.75
The Charlesmark Hotel,Excellent,5
The Charlesmark Hotel,Excellent,5
The Charlesmark Hotel,Small rooms and beds but excellent location,3.95
The Charlesmark Hotel,Pleasantly surprised,4.15
The Charlesmark Hotel,Location and the New England style building and the room is...,3.5
The Charlesmark Hotel,Disappointing.,2.7
The Charlesmark Hotel,Not good,1.65
The Charlesmark Hotel,Bathroom was large and the speakers in the wall,4.6
The Charlesmark Hotel,The stay at charles mark hotel was comfortable. Affordable and in a great location.,3.95
The Charlesmark Hotel,Great hotel for a quick getaway,4.6
The Charlesmark Hotel,"Nice staff, good continental breakfast included.",4.6
The Charlesmark Hotel,Short stay in an excellent location.,4.6
The Charlesmark Hotel,Boston trip for MIT graduation days,3.75
The Charlesmark Hotel,The breakfast is nothing special.,4.15
The Charlesmark Hotel,Good value for location.,4.6
The Charlesmark Hotel,Convienantly located with lots of places to walk to,2.9
The Charlesmark Hotel,Perfect place for a Nostalgic Return to Beloved Boston,5
The Charlesmark Hotel,very good place,5
The Charlesmark Hotel,Good place to stay for a week-end in Boston,3.55
The Charlesmark Hotel,We liked everything about this hotel from the moment we...,5
The Charlesmark Hotel,"Unimpressive, not worth the money",2.9
The Charlesmark Hotel,"Great location, staff and room!",4.8
The Charlesmark Hotel,Value for money,4.15
The Charlesmark Hotel,Location and staff,3.75
The Charlesmark Hotel,Fantastic location right near Copley Square and directly...,4.6
The Charlesmark Hotel,"Staff, location, rooms",4.8
The Charlesmark Hotel,Breakfast,3.95
The Charlesmark Hotel,Great location.,3.95
The Charlesmark Hotel,"staff was very friendly and accommodating, hotel perfectly...",4.8
The Charlesmark Hotel,Very comfortable and enjoyable,4.8
The Charlesmark Hotel,"Good location, good design, comfortable room.",4.15
The Charlesmark Hotel,Lovely short stay in Boston,4.8
The Charlesmark Hotel,Would Stay Again,5
The Charlesmark Hotel,Great location,5
The Charlesmark Hotel,"Location is great, the hotel is clean, and room is comfortable. Pricing was good too!",3.75
The Charlesmark Hotel,Yes it's small put clearly stated and really set up well.,4.6
The Charlesmark Hotel,"Small, clean hotel. Great location. Walk to the everything.",4.15
The Charlesmark Hotel,Loved the sound system in the room and the fact that they...,5
The Charlesmark Hotel,Great! We plan to come back in February.,5
The Charlesmark Hotel,adequate good location tiny room bedding was sub-par.,2.7
The Charlesmark Hotel,Everything about this place was great!,5
The Charlesmark Hotel,Excellent location and friendly staff,4.6
The Charlesmark Hotel,An excellent concierge.,4.6
The Charlesmark Hotel,Location is very good,3.35
The Charlesmark Hotel,Excellent,5
The Charlesmark Hotel,Location location !,4.5
The Charlesmark Hotel,"Great room, clean and a comfortable.",4.4
The Charlesmark Hotel,Cozy room and vibe to this place.,4.4
The Charlesmark Hotel,"Great place to stay for the money, but don't count on the complimentary breakfast.",4.6
The Charlesmark Hotel,"Great location, excellent staff. Small room, but sufficient for a single person.",4.4
The Charlesmark Hotel,Excellent location in city centre,1.45
The Charlesmark Hotel,Great location and a nice play to stay in Boston,4.15
The Charlesmark Hotel,Staff was wonderful!,4.8
The Charlesmark Hotel,"Wonderful Hotel, Awesome Location",4.6
The Charlesmark Hotel,Good spread of breakfast.,3.55
The Charlesmark Hotel,Very nice hotel in Boston center,5
The Charlesmark Hotel,Excellent location,4.6
The Charlesmark Hotel,Boston Marathon runner's ideal location!,5
The Charlesmark Hotel,"It's economical, boutique style (my fave), great quality...",5
The Charlesmark Hotel,"Great location, nice room.",4.15
The Charlesmark Hotel,"We were super-well accommodated, the staff was...",4.8
The Charlesmark Hotel,Location and staff.,4.15
The Charlesmark Hotel,a Boston great!,5
The Charlesmark Hotel,"Location, location, location",4.8
The Charlesmark Hotel,Convenient location in the city centre walkable to most...,1.45
The Charlesmark Hotel,"Great location, right near two T stops and directly across...",4.8
The Charlesmark Hotel,Was a great stay!,4.6
AC Hotel by Marriott Boston Downtown,Excellent stay. Hope to stay there again.,5
The Hotel of South Beach,Great hotel like the rooftop pool,4.4
The Hotel of South Beach,A comfortable hotel in a great location,5
The Hotel of South Beach,"First time in Miami and had a great stay at The Hotel, South Beach. Loved it!",5
The Hotel of South Beach,Unreal,5
The Hotel of South Beach,"Next to Ocean Drive, so the beach is over the street.",3.55
The Hotel of South Beach,For 169 plus 39 valet fee -should be better!!!!,3.15
The Hotel of South Beach,Lively stay at a wonderful hotel,4.6
The Pearl Hotel,Perfect location,5
Hotel Renew,Close To The Beach.. and now My Heart - Ocean Tower Resort,5
Hotel Renew,Lenore is truly great and an asset to this hotel,3
Hotel Renew,Well kept secret in Waikiki,5
Hotel Renew,"Great Value for the Money, Location, Location, Location",4
Hotel Renew,great value for money,4
Hotel Renew,Wonderful Surprise,5
Hotel Renew,Great location and nice price,4
Hotel Renew,"Friendly staff, great location",4
Hotel Renew,Great stay experience!,5
Hotel Renew,The Best stay I've had in Waikiki,5
Hotel Renew,Great Value,5
Hotel Renew,Hawaii,4
Hotel Renew,Comfortable hotel near the beach,4
Hotel Renew,A Perfect Hotel for a Perfect Getaway!!!!!!,5
Hotel Renew,Excellent customer service!,5
Hotel Renew,Loved it....Location and Friendly Staff!!!,5
Hotel Renew,Good Time in Waikiki,5
Hotel Renew,"Great Location, Excellent Hospitality!",5
Four Seasons Hotel New York Downtown,Great New York Hotel,5
The James New York – NoMad,World Class Customer Service and Fabulous,5
MOXY New Orleans Downtown/French Quarter Area,Southern Hospitality at its core,5
Bienville House,Fabulous First,5
Room Mate Lord Balfour,Location is perfect.,4.8
Room Mate Lord Balfour,Everything was perfect.,5
Room Mate Lord Balfour,Excellent,4.4
Room Mate Lord Balfour,Close to most attractions,3.55
Room Mate Lord Balfour,I was incorrectly being charged for the previous guests...,3.15
Room Mate Lord Balfour,"From the room, to the staff to the location.",5
Room Mate Lord Balfour,The staff was fantastic and amazingly helpful.,4.8
Room Mate Lord Balfour,Very clean and stylish.,4.8
Room Mate Lord Balfour,"Courtesy, friendliness of employees.",5
Room Mate Lord Balfour,"Best Location SouthBeach, nice staff!",4.8
Room Mate Lord Balfour,Ocean Drive quiet end...close but far enough away,4.15
Room Mate Lord Balfour,Very nice,4.25
Room Mate Lord Balfour,Very pleasant one night stay before moving on on a cruise.,4.4
Room Mate Lord Balfour,"Location, rooms, front Terrace and great staff plus the...",5
Room Mate Lord Balfour,The hotel staff were very nice.,4.15
Room Mate Lord Balfour,Staff and service was very friendly and helpfull.,5
Room Mate Lord Balfour,"Nice location, and I loved the bed so much it was so...",4.15
Room Mate Lord Balfour,Friendly Folks,4.8
Room Mate Lord Balfour,Nicely decorated boutique hotel just a couple of blocks...,5
Room Mate Lord Balfour,"Very good location, one block from the beach (2 min walk).",3.15
Room Mate Lord Balfour,Near beautiful beach 2 blocks from Ocean Dr nightlife.,4.6
Room Mate Lord Balfour,The valet parking was the worst at one time waited 45 min...,4.4
Room Mate Lord Balfour,IT WAS OK..THE STAFF WAS GREAT...,4.6
Room Mate Lord Balfour,Super place to stay at Miami South Beach,5
Room Mate Lord Balfour,Great location in Miami Beach (south).,4.4
Room Mate Lord Balfour,"Really modern hotel, very very clean room almost like if we...",4.6
Room Mate Lord Balfour,Location,3.55
Room Mate Lord Balfour,i love everything about the hotel really.,5
Room Mate Lord Balfour,Good hotel,3.75
Room Mate Lord Balfour,"Convenient to airport, great staff, lovely decor.",4.6
Room Mate Lord Balfour,The location was excellent being a short stroll to a...,4.15
Room Mate Lord Balfour,Great Time in Miami Beach!,4.4
Room Mate Lord Balfour,Goog value,3.95
Room Mate Lord Balfour,The Kings room,4.8
Room Mate Lord Balfour,Location,3.15
Room Mate Lord Balfour,"Beautiful hotel, loved the artwork, staff couldnt be any nicer, thanks",5
Room Mate Lord Balfour,Location,4.4
Room Mate Lord Balfour,Excellent service,4.4
Room Mate Lord Balfour,Great location,3.75
Room Mate Lord Balfour,Pleasant hotel with friendly staff,3.75
Room Mate Lord Balfour,Nice staff in clean hotel in good location.,4.4
Room Mate Lord Balfour,Location room,4.15
Room Mate Lord Balfour,"excellent staff and service, very friendly and accommodating...",3.75
Room Mate Lord Balfour,Location.,4.4
Room Mate Lord Balfour,Hotel was clean and close to everything in south beach.,3.75
Room Mate Lord Balfour,What I really like is the location and decorations.,4.15
Room Mate Lord Balfour,They ask for money for deposit and you will not get back.,1.25
Room Mate Lord Balfour,"lovely decor, super friendly and helpful bilingual staff.",3.95
Room Mate Lord Balfour,prices are high with taxes,2.5
Room Mate Lord Balfour,Staffs are friendly and the location is good,3.55
Room Mate Lord Balfour,Ideal location for South Beach.,3.55
Room Mate Lord Balfour,Good location but getting rooked,3.15
Room Mate Lord Balfour,I was impressed with the complementary robes and slippers...,5
Room Mate Lord Balfour,Great location,3.35
Room Mate Lord Balfour,I really liked the water in the lobby.,5
Room Mate Lord Balfour,Bed Bugs,2.1
Room Mate Lord Balfour,EVERYTHING!,5
Room Mate Lord Balfour,Great location,4.6
Room Mate Lord Balfour,Amazing hotel,5
Room Mate Lord Balfour,Clean and nice room with comfortable bed.,4.8
Room Mate Lord Balfour,Great boutique property,5
Room Mate Lord Balfour,can't wait to stay here again!,5
Room Mate Lord Balfour,all good,3.75
Room Mate Lord Balfour,"Cool ,artsy and fun!",5
Room Mate Lord Balfour,"Art Deco, location, price, and bed.",5
The Westin Las Vegas Hotel & Spa,Was told I would get a robe and didn't.,3.75
The Westin Las Vegas Hotel & Spa,Happy New Year,4.6
The Westin Las Vegas Hotel & Spa,Vacation trip,5
The Westin Las Vegas Hotel & Spa,Best spot to be AWAY from Vegas while IN Vegas...,4.4
The Westin Las Vegas Hotel & Spa,"Great hotel, will return on our next trip to Vegas",4.6
The Westin Las Vegas Hotel & Spa,"The staff were helpful, comfortable beds and location.",4.15
The Westin Las Vegas Hotel & Spa,Didn't meet expectations,3.35
The Westin Las Vegas Hotel & Spa,Pre-paid for a premium room with two double beds but was...,1.65
The Westin Las Vegas Hotel & Spa,A great hotel to spend a few nights whilst in Las Vegas,4.15
The Westin Las Vegas Hotel & Spa,The room is old. Not worthy at all.,2.1
The Westin Las Vegas Hotel & Spa,Classy and friendly,3.95
The Westin Las Vegas Hotel & Spa,"Excellent location, clean interior, very good staff.",5
The Westin Las Vegas Hotel & Spa,"Didnt smell like smoke, and no gambling",5
The Westin Las Vegas Hotel & Spa,"They cannot find my booking ticket when I arrived, and the...",2.9
The Westin Las Vegas Hotel & Spa,"Good, but a bit overpriced for no pool and under construction for restaurant. But nice stay.",4.4
The Westin Las Vegas Hotel & Spa,"After the hustle and bustle of the strip, it was nice to walk into The Westin.",4.8
The Westin Las Vegas Hotel & Spa,Thank God for the Starbucks,3.95
The Westin Las Vegas Hotel & Spa,Wonderful,4.8
The Westin Las Vegas Hotel & Spa,. No my experience was horrible it was a bad experience...,2.1
The Westin Las Vegas Hotel & Spa,It was good.,4.8
The Westin Las Vegas Hotel & Spa,A nice hotel and I will stay again if I return to Vegas,5
The Westin Las Vegas Hotel & Spa,Great location and free parking!,3.75
